,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
15,1moEucbMhmAK6KVPoNw6ms,Happy Xmas (War Is Over),Ava Max,0.369,0.3,0,-11.994,1,0.0317,0.921,0.000718,0.168,0.24,75.745,audio_features,spotify:track:1moEucbMhmAK6KVPoNw6ms,https://api.spotify.com/v1/tracks/1moEucbMhmAK6KVPoNw6ms,https://api.spotify.com/v1/audio-analysis/1moEucbMhmAK6KVPoNw6ms,210907,3
16,10HDoLPz2bucGBkoNEjDHW,Glittery - From The Kacey Musgraves Christmas Show,John Lennon,0.54,0.928,2,-6.252,1,0.0337,0.0887,1.11e-05,0.314,0.796,140.419,audio_features,spotify:track:10HDoLPz2bucGBkoNEjDHW,https://api.spotify.com/v1/tracks/10HDoLPz2bucGBkoNEjDHW,https://api.spotify.com/v1/audio-analysis/10HDoLPz2bucGBkoNEjDHW,272333,4
17,4so0Wek9Ig1p6CRCHuINwW,Joy To The World,Blake Shelton,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,audio_features,spotify:track:4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/tracks/4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/audio-analysis/4so0Wek9Ig1p6CRCHuINwW,177480,3
18,2wCPMWR3y4xclijuCcLJv7,"Baby, It's Cold Outside - Remastered 2004",Dixie,0.709,0.506,2,-5.628,1,0.0377,0.844,0.0,0.062,0.682,119.345,audio_features,spotify:track:2wCPMWR3y4xclijuCcLJv7,https://api.spotify.com/v1/tracks/2wCPMWR3y4xclijuCcLJv7,https://api.spotify.com/v1/audio-analysis/2wCPMWR3y4xclijuCcLJv7,131547,4
19,5a1iz510sv2W9Dt1MvFd5R,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Elton John,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,audio_features,spotify:track:5a1iz510sv2W9Dt1MvFd5R,https://api.spotify.com/v1/tracks/5a1iz510sv2W9Dt1MvFd5R,https://api.spotify.com/v1/audio-analysis/5a1iz510sv2W9Dt1MvFd5R,206640,3
20,2zs2Ck470VmBFTwUp4NFdv,It's Beginning To Look A Lot Like Christmas,Jennifer Lopez,0.598,0.447,8,-7.932,1,0.0404,0.224,0.0,0.0704,0.365,123.855,audio_features,spotify:track:2zs2Ck470VmBFTwUp4NFdv,https://api.spotify.com/v1/tracks/2zs2Ck470VmBFTwUp4NFdv,https://api.spotify.com/v1/audio-analysis/2zs2Ck470VmBFTwUp4NFdv,194707,4
21,5jjsm4Jjq8xjDaue3rW9Go,Mistletoe,Burl Ives,0.581,0.312,11,-12.938,1,0.0329,0.896,0.0,0.166,0.536,102.107,audio_features,spotify:track:5jjsm4Jjq8xjDaue3rW9Go,https://api.spotify.com/v1/tracks/5jjsm4Jjq8xjDaue3rW9Go,https://api.spotify.com/v1/audio-analysis/5jjsm4Jjq8xjDaue3rW9Go,85227,4
22,7F9oCEKbqjN99cV5HpvYER,A Holly Jolly Christmas,B. Swanson Quartet,0.586,0.32,0,-12.788,1,0.0289,0.637,0.00202,0.128,0.437,115.808,audio_features,spotify:track:7F9oCEKbqjN99cV5HpvYER,https://api.spotify.com/v1/tracks/7F9oCEKbqjN99cV5HpvYER,https://api.spotify.com/v1/audio-analysis/7F9oCEKbqjN99cV5HpvYER,192459,4
23,7uMwRRjTbAnpamA9cc842p,"Cuddle Up, Cozy Down Christmas",The Harlem Community Choir,0.603,0.231,9,-10.135,1,0.0299,0.934,4.53e-05,0.112,0.409,103.986,audio_features,spotify:track:7uMwRRjTbAnpamA9cc842p,https://api.spotify.com/v1/tracks/7uMwRRjTbAnpamA9cc842p,https://api.spotify.com/v1/audio-analysis/7uMwRRjTbAnpamA9cc842p,142356,3
24,1h9QQ7e222OSr93MRiMqGZ,The Christmas Song (Merry Christmas To You),Gwen Stefani,0.327,0.223,7,-8.975,0,0.0336,0.932,0.0,0.192,0.172,109.568,audio_features,spotify:track:1h9QQ7e222OSr93MRiMqGZ,https://api.spotify.com/v1/tracks/1h9QQ7e222OSr93MRiMqGZ,https://api.spotify.com/v1/audio-analysis/1h9QQ7e222OSr93MRiMqGZ,211453,4
25,18g50kFt5uwVeCzQbrCvAO,Wrapped in Red,The Ronettes,0.622,0.688,4,-3.504,0,0.0845,0.52,0.0,0.375,0.766,140.561,audio_features,spotify:track:18g50kFt5uwVeCzQbrCvAO,https://api.spotify.com/v1/tracks/18g50kFt5uwVeCzQbrCvAO,https://api.spotify.com/v1/audio-analysis/18g50kFt5uwVeCzQbrCvAO,161973,4
26,4M3K1gnHJnE3cIrAcKZQr3,Underneath the Tree,AJ Mitchell,0.343,0.6,3,-5.254,1,0.0302,0.451,0.0,0.279,0.158,172.044,audio_features,spotify:track:4M3K1gnHJnE3cIrAcKZQr3,https://api.spotify.com/v1/tracks/4M3K1gnHJnE3cIrAcKZQr3,https://api.spotify.com/v1/audio-analysis/4M3K1gnHJnE3cIrAcKZQr3,254707,4
27,3VTNVsTTu05dmTsVFrmGpK,Frosty the Snowman,The Fontane Sisters,0.271,0.551,2,-7.48,1,0.0457,0.582,4.16e-05,0.256,0.428,78.111,audio_features,spotify:track:3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/tracks/3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/audio-analysis/3VTNVsTTu05dmTsVFrmGpK,272467,4
28,3jKGG4THqegu6EgxinAIYm,Rockin' Around The Christmas Tree,Coldplay,0.582,0.151,9,-12.217,1,0.0411,0.862,0.0,0.0801,0.282,109.626,audio_features,spotify:track:3jKGG4THqegu6EgxinAIYm,https://api.spotify.com/v1/tracks/3jKGG4THqegu6EgxinAIYm,https://api.spotify.com/v1/audio-analysis/3jKGG4THqegu6EgxinAIYm,137138,4
29,4ricyQVd20UQde1jpXCSuJ,Sleigh Ride,Jonas Brothers,0.452,0.366,0,-14.152,0,0.0415,0.833,0.0,0.0789,0.629,114.993,audio_features,spotify:track:4ricyQVd20UQde1jpXCSuJ,https://api.spotify.com/v1/tracks/4ricyQVd20UQde1jpXCSuJ,https://api.spotify.com/v1/audio-analysis/4ricyQVd20UQde1jpXCSuJ,133867,4
