Track name, Artist name, Album, Playlist name, Type, ISRC
Let's Love (feat. Sia) - Acoustic,David Guetta,Let's Love (feat. Sia) [Acoustic],Hit Acoustique,Playlist track,UKWLH2000019
Love Not War (The Tampa Beat) (Acoustic),Jason Derulo,Love Not War (The Tampa Beat) (Acoustic),Hit Acoustique,Playlist track,GBARL2001587
Selfish Love (with Selena Gomez) - Acoustic Mix,DJ Snake,Selfish Love (with Selena Gomez) EP,Hit Acoustique,Playlist track,USUG12002209
Stay - Spotify Singles,girl in red,Spotify Singles,Hit Acoustique,Playlist track,GBKPL2163834
Control - Acoustic Guitar Version,Zoe Wees,Control (Acoustic Versions),Hit Acoustique,Playlist track,GBUM72004534
Bad Habits - Acoustic Version,Ed Sheeran,Bad Habits (Acoustic Version),Hit Acoustique,Playlist track,GBAHS2100438
By Your Side (feat. Tom Grennan) - Acoustic,Calvin Harris,By Your Side (Acoustic) (feat. Tom Grennan),Hit Acoustique,Playlist track,GBARL2101056
Mood - Acoustic,Adam Christopher,Mood (Acoustic),Hit Acoustique,Playlist track,UK42F2000566
beau-papa (acoustique),Vianney,beau-papa (acoustique),Hit Acoustique,Playlist track,FR79W2100030
Breaking Me - Acoustic Version,Topic,Breaking Me (Remixes),Hit Acoustique,Playlist track,DEUM72001444
Sweet but Psycho - Acoustic,Ava Max,Sweet but Psycho (Acoustic),Hit Acoustique,Playlist track,USAT21811480
Lonely (with benny blanco) - Acoustic,Justin Bieber,Lonely (with benny blanco) [Main + Acoustic],Hit Acoustique,Playlist track,USUM72100550
you broke me first - Spotify Singles,Tate McRae,Spotify Singles,Hit Acoustique,Playlist track,USRC12003846
Fast Car - Acoustic,Jonas Blue,Fast Car (Acoustic),Hit Acoustique,Playlist track,GBUM71600355
Let’s Go Home Together - Stripped,Ella Henderson,Let’s Go Home Together (Stripped),Hit Acoustique,Playlist track,GBAHS2100108
Never Seen The Rain - Alternate Version,Tones And I,Never Seen The Rain (Alternate Version),Hit Acoustique,Playlist track,USAT22000592
Shape of You - Acoustic,Ed Sheeran,Shape of You (Acoustic),Hit Acoustique,Playlist track,GBAHS1700200
telepatía // acoustic,Kali Uchis,telepatía // acoustic,Hit Acoustique,Playlist track,GBUM72102984
Head & Heart (feat. MNEK) - Acoustic,Joel Corry,Head & Heart (feat. MNEK) [Acoustic],Hit Acoustique,Playlist track,UK4ZF2000381
Dancing With A Stranger (With Normani) - Acoustic,Sam Smith,Dancing With A Stranger (With Normani) [Acoustic],Hit Acoustique,Playlist track,GBUM71900606
Deep End - Acoustic,Fousheé,Deep End (Acoustic),Hit Acoustique,Playlist track,USRC12003198
Watermelon Sugar - Acoustic,Jonah Baker,Watermelon Sugar (Acoustic),Hit Acoustique,Playlist track,UK42F2000398
You (with Marshmello & Vance Joy) - Acoustic,benny blanco,You (with Marshmello & Vance Joy) [Main + Acoustic],Hit Acoustique,Playlist track,USUG12100755
Donne-moi ton cœur - acoustique,Louane,Donne-moi ton cœur (acoustique),Hit Acoustique,Playlist track,FRUM72001116
Our Song - Acoustic,Anne-Marie,Our Song (Acoustic),Hit Acoustique,Playlist track,GBAHS2100338
Save Your Tears,Boyce Avenue,Save Your Tears,Hit Acoustique,Playlist track,USM952100006
Alien - Acoustic,Dennis Lloyd,Alien (Acoustic),Hit Acoustique,Playlist track,USQX92003911
I Leave Again - Acoustic,Petit Biscuit,I Leave Again,Hit Acoustique,Playlist track,FR8PF2000180
Fallin’ (Adrenaline) - Acoustic,Why Don't We,Fallin’ (Adrenaline) [Acoustic],Hit Acoustique,Playlist track,USAT22006843
Girls Like Us - Piano Version,Zoe Wees,Girls Like Us (Acoustic Versions),Hit Acoustique,Playlist track,GBUM72100380
drivers license - Acoustic,Sam Tsui,drivers license (Acoustic),Hit Acoustique,Playlist track,GBDMT2100014
Head Shoulders Knees & Toes (feat. Norma Jean Martine) - Acoustic,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine) [Acoustic],Hit Acoustique,Playlist track,FR9W12029230
Don't Call Me Up - Acoustic,Mabel,Don't Call Me Up (Acoustic),Hit Acoustique,Playlist track,GBUM71900500
Intentions - Acoustic,Justin Bieber,Intentions (Acoustic),Hit Acoustique,Playlist track,USUM72005764
death bed (coffee for your head) - Acoustic Mix,We Rabbitz,death bed (coffee for your head) [Acoustic Mix],Hit Acoustique,Playlist track,ITQ582000033
Last Hurrah - Acoustic,Bebe Rexha,Last Hurrah (Acoustic),Hit Acoustique,Playlist track,USWB11900817
I Don't Care - Acoustic,Ed Sheeran,I Don't Care (Acoustic),Hit Acoustique,Playlist track,GBAHS1900797
Castles - Acoustic,Freya Ridings,Castles (Acoustic),Hit Acoustique,Playlist track,UK8E21901201
